dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.7806451612903226,0.8159073935772965,0.7817182817182817,0.7747863247863248,0.5622196378135904,0.5966469244057054,0.7087378640776699,0.948051948051948,0.8111111111111111,0.9230769230769231,0.6153846153846154,0.7384615384615385,0.7747863247863248,0.7745519713261649,155,"[[73, 4], [30, 48]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.8516129032258064,0.8562521065048871,0.8519813519813519,0.8512165602437294,0.7034356542716913,0.7082205817223749,0.813953488372093,0.9090909090909091,0.8588957055214724,0.8985507246376812,0.7948717948717948,0.8435374149659864,0.8512165602437294,0.8511670173709699,155,"[[70, 7], [16, 62]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.7483870967741936,0.7954097714736013,0.7496669996669997,0.7385945945945946,0.498048658972017,0.5431540161542693,0.6759259259259259,0.948051948051948,0.7891891891891892,0.9148936170212766,0.5512820512820513,0.688,0.7385945945945946,0.7382681778552745,155,"[[73, 4], [35, 43]]"
NGC,Model,1,0.8258064516129032,0.8350427350427351,0.8263403263403264,0.8247560822411122,0.651975051975052,0.6613258062159729,0.7777777777777778,0.9090909090909091,0.8383233532934131,0.8923076923076924,0.7435897435897436,0.8111888111888111,0.8247560822411122,0.8246685514601295,155,"[[70, 7], [20, 58]]"
UGC,Model,2,0.7612903225806451,0.8035232961108971,0.7624875124875125,0.753237812486554,0.523710655261191,0.5645213015579131,0.6886792452830188,0.948051948051948,0.7978142076502732,0.9183673469387755,0.5769230769230769,0.7086614173228346,0.753237812486554,0.7529502228403363,155,"[[73, 4], [33, 45]]"
NGC,Model,2,0.8193548387096774,0.8246281271129141,0.8197635697635697,0.8187437353825593,0.6389951755115622,0.6443733351754628,0.7816091954022989,0.8831168831168831,0.8292682926829268,0.8676470588235294,0.7564102564102564,0.8082191780821918,0.8187437353825593,0.8186758350128794,155,"[[68, 9], [19, 59]]"
UGC,Model,3,0.7548387096774194,0.7817198386505317,0.7558275058275058,0.7493190330268982,0.5106347623795281,0.5369233973821328,0.693069306930693,0.9090909090909091,0.7865168539325843,0.8703703703703703,0.6025641025641025,0.7121212121212122,0.7493190330268982,0.7490790470855713,155,"[[70, 7], [31, 47]]"
NGC,Model,3,0.8709677419354839,0.8774592944369064,0.8705461205461206,0.8703145917001338,0.7417097150474921,0.747973468025896,0.8295454545454546,0.9358974358974359,0.8795180722891566,0.9253731343283582,0.8051948051948052,0.8611111111111112,0.8703145917001338,0.8703739689942565,155,"[[73, 5], [15, 62]]"
UGC,Model,4,0.7806451612903226,0.8004799146818343,0.7814685314685315,0.7772988505747127,0.562001329787234,0.5816378265597434,0.7216494845360825,0.9090909090909091,0.8045977011494253,0.8793103448275862,0.6538461538461539,0.75,0.7772988505747127,0.7771227289581016,155,"[[70, 7], [27, 51]]"
NGC,Model,4,0.7935483870967742,0.8035714285714286,0.792957042957043,0.7915966386554623,0.5865977662943824,0.5964340300168357,0.75,0.8846153846153846,0.8117647058823529,0.8571428571428571,0.7012987012987013,0.7714285714285715,0.7915966386554623,0.7917267552182163,155,"[[69, 9], [23, 54]]"
